id_imovel,bairro,tipo,area_util,quartos,suites,banheiros,vagas,andar,idade_imovel,varanda,piscina,academia,portaria_24h,vista_mar,condominio,iptu,lat,lon,preco_venda
28,Ipanema,Cobertura,151.3,3,0,4,1,24,7,0,0,0,0,0,1565.11,2537.67,-22.995113,-43.207043,3096723.25
29,Lagoa,Flat,74.9,3,0,5,0,10,4,1,0,1,0,0,2725.33,1002.03,-22.976276,-43.205163,1510730.19
30,Meier,Apartamento,135.4,3,0,3,3,13,13,1,1,0,1,0,946.47,606.79,-22.917362,-43.300713,792515.51
31,Ramos,Flat,52.0,2,1,4,2,4,15,1,0,1,0,0,594.35,214.46,-22.849115,-43.258474,236122.93
32,Campo Grande,Studio/Loft,37.7,2,1,3,0,3,2,1,0,1,0,1,317.95,74.79,-22.900872,-43.560156,169550.95
33,Sao Conrado,Cobertura,217.2,3,2,5,2,13,17,0,0,1,0,0,1161.96,2158.7,-23.004415,-43.272008,2809361.93
34,Barra da Tijuca,Apartamento,96.8,3,1,3,3,9,3,1,0,1,1,1,824.1,863.4,-23.00411,-43.371773,1474273.81
35,Recreio,Apartamento,71.0,3,1,3,2,22,13,1,1,0,1,0,1166.87,454.54,-23.020167,-43.471354,556192.92
36,Botafogo,Studio/Loft,34.1,1,0,1,0,4,2,1,0,0,1,0,1113.65,451.27,-22.949837,-43.175215,445896.06
37,Copacabana,Apartamento,78.1,3,2,4,0,8,0,0,0,0,0,0,2019.62,1056.68,-22.968394,-43.188091,1284475.69
38,Recreio,Apartamento,79.1,2,1,3,1,19,17,1,0,0,0,1,958.52,581.11,-23.030871,-43.468719,818904.73
39,Flamengo,Cobertura,197.3,4,1,4,1,2,11,0,1,0,1,0,1661.29,2024.45,-22.933447,-43.177013,1963739.03
40,Meier,Apartamento,36.7,1,0,3,0,16,4,0,0,0,1,0,874.84,140.05,-22.900266,-43.28232,221228.77
41,Recreio,Flat,56.4,2,1,3,2,20,3,1,0,1,1,1,1022.86,413.32,-23.014658,-43.477011,625822.16
42,Centro,Studio/Loft,33.3,1,0,3,0,5,14,1,1,1,1,0,506.63,249.01,-22.890773,-43.173328,231641.07
43,Engenho Novo,Apartamento,42.7,2,0,3,0,6,25,1,0,0,0,0,672.31,238.43,-22.908573,-43.282311,235047.0
44,Jardim Botanico,Flat,50.4,1,0,3,0,11,12,1,0,0,1,0,1035.13,788.39,-22.959732,-43.224982,795001.54
45,Centro,Flat,50.0,1,0,3,1,2,24,1,1,1,0,0,713.07,325.28,-22.899182,-43.172995,305128.39
46,Madureira,Cobertura,343.8,5,1,7,0,28,32,0,0,1,0,1,617.52,956.23,-22.876935,-43.342863,1627733.92
47,Barra da Tijuca,Apartamento,72.5,2,1,4,2,20,22,1,0,1,0,1,1218.48,495.78,-22.99407,-43.367812,1073090.92
48,Gavea,Casa,270.1,5,0,6,2,0,0,0,0,1,0,0,1070.91,4423.77,-22.99186,-43.241211,4729618.67
49,Meier,Studio/Loft,53.7,2,0,4,1,27,40,1,0,1,1,0,670.24,267.03,-22.910402,-43.286792,270296.47
50,Copacabana,Studio/Loft,32.5,0,0,2,1,11,13,1,1,1,1,1,2239.79,392.67,-22.965552,-43.203023,764783.65
51,Botafogo,Apartamento,88.3,3,0,4,3,18,7,1,0,0,0,0,1414.15,867.01,-22.957259,-43.165959,1305569.94
52,Leblon,Cobertura,402.9,4,1,6,0,14,6,0,0,1,0,1,3544.07,8455.5,-22.975193,-43.226027,12494337.27
53,Madureira,Apartamento,98.6,3,2,3,2,1,15,1,0,0,0,0,484.93,320.41,-22.862635,-43.334079,403250.57
54,Meier,Apartamento,104.5,2,1,3,0,13,13,0,0,0,0,0,695.74,490.1,-22.900386,-43.298131,587071.64
55,Engenho Novo,Casa,166.5,3,0,5,0,0,3,0,0,0,1,0,734.24,881.52,-22.908302,-43.277011,813088.4
56,Madureira,Apartamento,118.5,2,1,2,0,24,17,1,0,0,1,0,330.12,403.43,-22.872801,-43.340142,478075.63
57,Recreio,Apartamento,88.6,3,1,5,1,4,0,1,1,0,1,0,866.33,632.19,-23.017043,-43.483879,681540.4
58,Tijuca,Casa,87.7,3,0,5,1,0,10,1,1,1,0,0,1112.02,432.14,-22.913933,-43.225157,691333.37
59,Copacabana,Apartamento,78.1,3,2,3,0,2,0,0,0,0,0,0,849.85,1009.49,-22.961776,-43.176471,1201591.48
60,Copacabana,Apartamento,56.1,2,1,4,0,1,2,1,0,1,0,0,2174.51,711.83,-22.970203,-43.184011,990035.98
61,Meier,Apartamento,94.1,3,0,4,3,28,1,0,1,1,1,0,737.32,312.43,-22.91451,-43.277672,576068.38
62,Recreio,Studio/Loft,30.2,1,0,2,0,15,3,1,0,1,0,1,1006.05,208.87,-23.020819,-43.467616,236906.38
63,Tijuca,Studio/Loft,42.8,1,0,1,0,18,2,1,0,0,0,0,1244.67,316.82,-22.92005,-43.240713,509412.6
64,Madureira,Apartamento,91.6,3,0,4,1,20,6,0,0,0,0,0,400.85,462.76,-22.864521,-43.352591,413092.25
65,Sao Cristovao,Cobertura,142.1,3,1,4,2,8,16,1,0,1,0,0,450.38,725.22,-22.895586,-43.234639,868356.35
66,Tijuca,Apartamento,73.9,3,0,4,2,17,11,0,1,1,1,0,1334.93,460.14,-22.911781,-43.241943,627278.5
67,Tijuca,Flat,64.2,2,1,3,1,3,4,1,0,1,1,0,581.33,472.53,-22.927563,-43.221032,496910.75
68,Jardim Botanico,Apartamento,142.5,3,1,5,0,8,2,0,0,0,1,0,2567.0,928.66,-22.97203,-43.232915,2565562.8
69,Leblon,Studio/Loft,30.3,1,0,1,0,23,65,0,1,0,1,0,2532.3,576.27,-22.975845,-43.226509,470225.61
70,Recreio,Studio/Loft,28.9,0,0,2,1,25,10,1,0,0,1,0,1098.14,114.13,-23.025835,-43.470516,201818.28
71,Flamengo,Apartamento,196.4,4,3,5,1,4,4,1,1,0,0,1,793.74,1757.31,-22.942411,-43.171902,3047567.37
72,Barra da Tijuca,Apartamento,89.6,3,0,4,2,8,27,0,1,1,0,0,882.34,619.96,-22.999863,-43.366618,1015833.44
73,Centro,Cobertura,227.2,4,3,5,0,14,2,0,1,1,0,0,944.99,1573.69,-22.900694,-43.176264,2400553.41
74,Flamengo,Studio/Loft,31.6,0,0,1,1,19,3,1,0,0,1,1,1399.67,384.91,-22.93236,-43.155874,498255.01
75,Ipanema,Cobertura,237.2,5,3,6,3,1,7,1,0,0,0,1,1692.93,3780.42,-23.00472,-43.213635,6269526.54
76,Gavea,Apartamento,178.7,3,1,3,1,19,0,0,0,1,0,0,1769.19,3058.06,-22.977584,-43.219791,3651763.0
77,Jardim Botanico,Casa,224.3,4,1,6,0,0,12,1,0,0,1,0,1213.85,3906.75,-22.9726,-43.228854,5089821.48
78,Meier,Apartamento,137.8,4,0,6,1,28,6,1,0,0,0,0,463.78,596.05,-22.894309,-43.283672,1068926.12
79,Tijuca,Flat,55.4,1,0,1,1,26,12,1,0,1,1,0,711.98,314.76,-22.934482,-43.231148,441387.71
80,Madureira,Studio/Loft,29.4,0,0,1,1,24,14,0,1,0,0,0,238.59,80.93,-22.866395,-43.341471,116433.79
81,Meier,Cobertura,173.2,4,3,4,2,19,7,0,1,1,1,0,587.28,605.33,-22.903749,-43.295025,1357877.72
82,Barra da Tijuca,Apartamento,57.6,2,1,4,1,5,5,1,1,0,1,0,972.91,505.01,-22.998262,-43.362761,691160.8
83,Centro,Apartamento,98.2,3,1,5,2,18,12,1,0,0,1,0,1079.96,728.44,-22.900399,-43.183043,807633.68
84,Lagoa,Studio/Loft,51.6,1,0,1,0,20,4,1,1,0,0,1,1287.6,338.74,-22.971228,-43.230648,1232768.78
85,Leblon,Apartamento,96.0,3,2,3,0,7,18,1,1,0,1,0,2549.72,1810.51,-22.98311,-43.220378,2261100.71
86,Copacabana,Apartamento,79.6,2,1,2,2,15,18,1,0,0,0,0,1735.58,997.34,-22.957172,-43.195996,1146371.11
87,Engenho Novo,Apartamento,65.6,1,0,2,0,16,33,0,1,1,0,0,306.78,151.66,-22.902667,-43.271262,306326.59
88,Recreio,Apartamento,103.8,2,1,2,2,3,10,1,1,0,1,0,124.24,731.9,-23.011142,-43.469073,850411.89
89,Lagoa,Apartamento,54.8,2,1,3,1,6,18,0,1,0,0,0,1560.54,832.21,-22.962401,-43.205973,1083124.49
90,Jacarepagua,Apartamento,57.2,1,0,1,1,14,3,0,1,0,0,0,952.82,294.66,-22.94548,-43.367183,397536.75
91,Lagoa,Apartamento,129.0,3,1,4,3,26,33,0,1,0,0,1,2358.92,2074.12,-22.964938,-43.205994,2916648.85
92,Meier,Studio/Loft,35.5,2,1,4,1,12,4,0,1,0,0,0,551.09,189.31,-22.902884,-43.275782,207504.5
93,Recreio,Apartamento,79.9,3,1,5,3,26,6,1,0,0,1,1,751.28,434.04,-23.013499,-43.476184,1144679.42
94,Barra da Tijuca,Apartamento,84.1,2,1,2,1,7,2,1,1,0,1,0,1268.36,821.34,-23.004828,-43.356036,746168.73
95,Jardim Botanico,Casa,277.3,5,3,7,0,0,2,1,0,0,1,0,1839.48,3386.11,-22.959904,-43.221299,6405624.55
96,Sao Cristovao,Apartamento,96.2,2,0,4,0,6,1,1,0,0,1,0,966.56,526.43,-22.890862,-43.222226,778648.51
97,Barra da Tijuca,Apartamento,66.9,1,0,3,0,29,1,1,0,1,1,0,1130.34,677.85,-23.003016,-43.356692,681579.87
98,Copacabana,Casa,145.5,3,2,5,2,0,4,1,0,1,0,1,1752.96,1561.12,-22.972108,-43.178615,3104070.17
99,Copacabana,Flat,52.4,2,1,2,1,14,65,1,1,1,1,1,1464.5,738.68,-22.968264,-43.184703,851068.73
100,Campo Grande,Flat,59.3,2,0,4,0,7,13,0,0,0,1,0,256.56,167.67,-22.907237,-43.574787,206445.31
101,Niteroi,Apartamento,88.7,2,1,4,1,22,38,1,0,0,0,0,1036.68,829.23,-22.891245,-43.092291,539704.51
102,Engenho Novo,Studio/Loft,36.8,1,0,3,1,20,13,1,0,0,0,0,537.64,134.91,-22.912591,-43.282283,151853.53
103,Humaita,Apartamento,91.7,2,0,4,2,4,3,0,0,0,0,0,1794.77,809.22,-22.957385,-43.18969,1351331.46
104,Campo Grande,Studio/Loft,37.7,2,0,2,2,30,31,1,0,0,1,0,367.38,107.64,-22.896847,-43.554586,98574.43
105,Madureira,Flat,45.3,2,0,3,0,4,14,1,1,0,1,0,310.68,193.78,-22.866525,-43.355338,178205.42
106,Engenho Novo,Apartamento,140.1,3,0,5,2,1,41,1,0,0,0,0,557.71,430.77,-22.911028,-43.280995,725303.63
107,Recreio,Apartamento,74.2,3,2,3,0,26,21,0,1,1,0,1,946.41,500.02,-23.01397,-43.469598,1006097.37
108,Gavea,Apartamento,94.8,2,0,3,2,5,12,1,1,1,0,0,1106.5,971.7,-22.980663,-43.214924,1612504.33
109,Copacabana,Apartamento,39.5,1,0,2,1,15,48,0,0,1,1,1,1724.5,500.82,-22.983129,-43.17992,583161.1
110,Niteroi,Studio/Loft,36.0,1,0,3,0,22,13,1,0,1,0,0,628.01,236.88,-22.884589,-43.110564,307295.04
111,Recreio,Cobertura,149.7,3,2,3,2,22,7,1,0,1,0,0,217.24,896.87,-23.01659,-43.4614,1704065.7
112,Botafogo,Studio/Loft,29.8,1,0,3,0,17,11,1,0,1,0,0,1468.24,287.49,-22.952916,-43.164301,325170.92
113,Jardim Botanico,Apartamento,237.1,4,0,6,2,6,22,1,0,0,1,0,1815.96,2750.54,-22.978391,-43.227514,3896860.71
114,Tijuca,Studio/Loft,40.4,2,0,4,1,25,9,1,0,1,0,0,819.28,125.42,-22.929105,-43.236992,384427.78
115,Botafogo,Apartamento,147.0,3,1,3,3,20,26,0,1,1,0,0,1400.54,1457.55,-22.957921,-43.171924,1954088.56
116,Santa Teresa,Studio/Loft,47.1,1,0,2,1,15,39,0,1,0,1,0,1107.0,299.15,-22.931805,-43.179776,297945.92
117,Ramos,Flat,70.3,2,1,3,0,19,3,1,1,1,0,0,773.15,304.52,-22.855323,-43.255323,276993.24
118,Engenho Novo,Studio/Loft,36.2,2,1,4,2,28,0,1,0,1,1,0,459.93,86.48,-22.901166,-43.286888,221132.48
119,Recreio,Flat,82.2,2,1,4,0,21,1,1,0,0,1,1,434.09,422.95,-23.018249,-43.484214,956939.62
120,Sao Cristovao,Apartamento,126.3,3,1,5,2,7,6,1,0,1,1,0,622.58,555.86,-22.88966,-43.233757,957684.49
121,Tijuca,Apartamento,91.5,3,0,5,3,26,49,0,0,0,0,0,587.49,416.78,-22.943034,-43.241866,644217.44
122,Sao Cristovao,Apartamento,100.0,3,0,3,1,15,32,0,1,1,1,1,627.82,654.74,-22.897498,-43.227194,532668.98
123,Copacabana,Apartamento,85.2,2,1,3,0,28,22,1,0,0,0,1,781.49,1223.03,-22.96657,-43.181502,1495994.49
124,Barra da Tijuca,Flat,55.7,2,1,2,1,26,3,0,0,0,1,1,1573.44,406.8,-23.006484,-43.371799,766783.76
125,Ipanema,Casa,196.1,3,1,3,1,0,15,0,1,0,1,0,1767.37,3226.18,-22.990861,-43.216762,4108845.34
126,Jacarepagua,Apartamento,104.8,3,1,3,2,30,0,1,1,0,0,0,633.3,523.79,-22.963514,-43.373891,861490.0
127,Sao Conrado,Studio/Loft,58.7,2,1,3,2,5,3,1,0,1,0,0,955.02,662.9,-22.999133,-43.279897,775415.08
128,Copacabana,Apartamento,55.6,1,0,3,1,29,11,0,0,1,0,0,1025.49,506.46,-22.980495,-43.192498,934409.34
129,Copacabana,Casa,334.4,5,2,7,0,0,3,1,0,0,1,0,1910.56,3351.99,-22.977649,-43.188267,4788536.69
130,Vila Isabel,Apartamento,77.7,2,1,3,2,18,15,1,1,1,0,0,434.37,272.29,-22.928259,-43.263229,602168.48
131,Botafogo,Apartamento,149.6,3,1,3,1,25,20,1,1,0,1,0,1784.02,1802.97,-22.943453,-43.185238,2172081.5
132,Niteroi,Casa,172.1,4,3,4,2,0,22,1,0,0,1,0,1171.34,1223.66,-22.888599,-43.097664,1808528.2
133,Tijuca,Studio/Loft,42.1,2,0,3,0,13,14,1,0,1,0,0,1337.27,288.92,-22.922975,-43.228547,397011.08
134,Barra da Tijuca,Studio/Loft,36.5,1,0,3,1,21,1,0,0,0,1,1,1045.94,237.61,-22.996576,-43.368462,475218.56
135,Vila Isabel,Studio/Loft,24.7,0,0,1,0,18,1,1,0,0,1,0,699.84,133.31,-22.921768,-43.24386,222143.38
136,Leblon,Studio/Loft,58.7,1,0,1,0,8,1,1,0,0,0,0,1856.49,803.51,-22.995623,-43.229628,1262552.36
137,Campo Grande,Apartamento,61.7,1,0,2,1,5,12,1,0,0,0,0,426.63,148.69,-22.89815,-43.559907,262296.22
138,Recreio,Apartamento,93.1,2,0,4,2,25,45,1,0,0,0,1,600.95,319.37,-23.013961,-43.481397,1017421.83
139,Madureira,Flat,42.3,1,0,1,0,18,9,1,0,0,0,0,645.17,154.05,-22.85816,-43.34233,176373.93
140,Copacabana,Apartamento,52.7,2,1,4,0,24,30,1,1,0,0,0,1386.76,487.16,-22.968613,-43.172523,857492.89
141,Jacarepagua,Casa,182.4,4,1,6,3,0,0,0,0,1,1,0,734.49,751.72,-22.960104,-43.375016,1127805.97
142,Jacarepagua,Apartamento,71.0,3,1,4,3,18,9,1,0,1,0,0,758.06,383.79,-22.958473,-43.377399,769525.77
143,Niteroi,Studio/Loft,28.4,0,0,2,0,6,18,1,0,0,0,0,492.04,117.27,-22.884449,-43.109976,187161.39
144,Tijuca,Studio/Loft,37.7,1,0,1,0,18,8,1,0,1,1,0,363.55,234.91,-22.922455,-43.24869,262852.77
145,Recreio,Flat,38.0,2,0,4,2,1,36,1,0,1,1,1,1126.56,240.74,-23.023384,-43.461102,376284.68
146,Humaita,Apartamento,94.6,3,0,4,2,6,8,1,0,1,0,0,2021.51,706.43,-22.95587,-43.18922,913001.62
147,Sao Conrado,Studio/Loft,36.8,2,0,4,1,18,0,1,1,0,0,1,2204.02,345.22,-23.004022,-43.280178,577335.23
148,Jacarepagua,Casa,65.5,1,0,2,1,0,3,0,0,1,1,0,680.29,353.74,-22.962013,-43.385017,435722.19
149,Recreio,Apartamento,73.0,3,2,4,1,12,5,1,1,1,1,0,544.05,643.39,-23.02613,-43.466619,725164.28
150,Leblon,Apartamento,108.5,3,1,3,1,24,14,0,0,1,1,1,2697.26,1699.63,-22.995764,-43.215723,2703755.59
151,Centro,Apartamento,58.8,1,0,2,0,14,19,1,0,1,1,0,984.0,285.05,-22.911065,-43.184484,522601.2
152,Lapa,Casa,251.8,5,3,6,0,0,9,1,0,0,1,0,1341.61,2630.4,-22.9173,-43.180099,1865394.91
153,Copacabana,Apartamento,107.0,2,1,3,2,21,19,0,0,1,0,1,1984.29,1069.99,-22.974263,-43.185302,2152323.55
154,Tijuca,Apartamento,59.9,1,0,1,1,20,51,1,1,0,1,0,661.9,388.5,-22.925883,-43.236635,375456.47
155,Copacabana,Casa,198.9,4,1,6,2,0,6,1,0,0,1,1,1048.14,2544.2,-22.957374,-43.188246,3508236.61
156,Meier,Cobertura,293.6,5,2,7,1,2,3,1,0,0,1,0,461.61,913.37,-22.907019,-43.295944,1750302.43
157,Gavea,Cobertura,161.9,3,1,4,2,29,0,1,0,1,1,0,1720.39,2488.83,-22.987169,-43.238443,2904552.87
158,Meier,Casa,182.3,3,2,4,1,0,42,0,1,0,0,0,792.06,1207.63,-22.903758,-43.278018,817172.7
159,Engenho Novo,Cobertura,329.1,4,0,5,0,13,58,1,1,1,0,1,405.81,1158.63,-22.91375,-43.28963,1280417.07
160,Madureira,Apartamento,63.9,2,0,2,1,3,14,0,0,1,0,0,247.43,247.45,-22.85613,-43.33718,243704.28
161,Copacabana,Cobertura,258.4,5,0,5,0,21,1,0,0,1,1,0,2204.82,1917.8,-22.96872,-43.18382,4490585.69
162,Niteroi,Apartamento,58.4,2,0,3,2,29,12,0,1,0,1,0,825.63,387.98,-22.875826,-43.112208,470111.6
163,Flamengo,Apartamento,84.4,3,2,4,2,26,2,1,0,0,1,0,1146.8,582.54,-22.93396,-43.180645,1211581.92
164,Ipanema,Apartamento,107.6,2,0,3,0,26,7,1,1,0,0,0,2085.89,2260.1,-22.982264,-43.216496,2363956.19
165,Tijuca,Flat,30.2,1,0,2,0,6,3,1,0,1,1,0,846.2,152.68,-22.92647,-43.237193,254560.94
166,Barra da Tijuca,Apartamento,72.7,3,2,3,2,12,4,1,0,0,0,0,1069.95,418.74,-23.0008,-43.373726,904750.65
167,Centro,Apartamento,106.9,3,2,5,0,16,0,1,0,0,1,0,735.41,602.07,-22.914024,-43.186451,887715.08
168,Madureira,Cobertura,238.1,5,3,5,3,17,16,1,0,1,0,0,520.16,643.25,-22.87451,-43.33502,1070055.88
169,Sao Conrado,Casa,158.1,3,0,5,2,0,1,0,0,1,0,1,1024.84,1569.83,-23.003778,-43.265173,2459041.97
170,Campo Grande,Apartamento,57.9,1,0,1,0,3,33,1,0,0,0,0,314.55,143.55,-22.899117,-43.56245,167280.94
171,Gavea,Apartamento,115.7,2,0,2,1,8,10,0,0,0,1,0,2529.28,1544.16,-22.97475,-43.254679,2038805.88
172,Jacarepagua,Studio/Loft,35.1,1,0,2,0,6,65,1,1,0,0,0,606.16,214.61,-22.965589,-43.387201,164243.67
173,Humaita,Studio/Loft,43.6,1,0,1,1,15,49,1,0,1,1,0,1662.47,439.09,-22.940268,-43.196501,482101.89
174,Niteroi,Apartamento,104.8,2,0,2,1,8,3,0,0,0,0,0,970.41,750.74,-22.883745,-43.101857,748419.35
175,Lagoa,Apartamento,75.3,3,2,4,0,25,26,1,0,0,1,0,1830.27,957.31,-22.967657,-43.217968,1497776.84
176,Ipanema,Cobertura,320.2,4,0,4,0,16,2,0,0,1,1,1,1985.55,3772.57,-22.973698,-43.207808,8390671.95
177,Recreio,Apartamento,71.0,3,2,3,3,1,31,1,0,0,0,0,1007.32,670.2,-23.02605,-43.478042,507638.44
178,Campo Grande,Apartamento,144.9,3,1,5,3,24,35,1,1,0,0,0,503.18,445.19,-22.903631,-43.550732,564843.75
179,Lapa,Apartamento,152.7,3,2,3,3,27,10,1,0,0,0,0,1054.6,1174.24,-22.897515,-43.191972,1372976.19
180,Ramos,Apartamento,137.0,3,1,3,0,10,7,1,0,1,1,0,564.12,392.39,-22.85214,-43.256993,759711.49
181,Lapa,Apartamento,83.7,3,1,4,3,16,5,0,0,1,1,0,758.19,573.67,-22.905841,-43.184473,834656.19
182,Lapa,Apartamento,249.3,4,1,4,2,7,5,1,1,0,1,0,630.42,1830.02,-22.915182,-43.178415,2076156.15
183,Jacarepagua,Apartamento,95.6,2,1,4,0,19,0,1,0,0,0,0,510.58,606.13,-22.96398,-43.38869,622622.99
184,Sao Conrado,Casa,222.9,4,3,5,2,0,46,1,1,1,0,0,1364.87,2362.86,-23.014916,-43.2727,2365028.64
185,Madureira,Studio/Loft,37.8,1,0,1,1,16,3,0,0,1,0,0,584.13,140.37,-22.854992,-43.342963,153860.87
186,Meier,Apartamento,57.3,2,1,4,2,15,13,1,1,0,0,0,743.9,166.9,-22.907491,-43.282762,333127.99
187,Barra da Tijuca,Casa,358.2,5,2,5,3,0,4,1,0,0,1,0,1285.38,2457.34,-23.011196,-43.369579,5157827.79
188,Copacabana,Cobertura,180.1,3,2,4,3,6,23,0,0,1,1,0,1619.59,2992.97,-22.961687,-43.17832,2755298.06
189,Ramos,Apartamento,130.0,3,0,4,2,8,2,1,0,0,0,0,409.1,564.0,-22.861128,-43.25534,639866.88
190,Humaita,Apartamento,143.1,3,1,3,2,5,1,1,1,0,1,0,1628.55,1623.93,-22.952357,-43.195267,2639449.35
191,Niteroi,Apartamento,114.6,3,1,3,2,12,13,1,0,0,1,0,1321.18,852.34,-22.877607,-43.105833,1248444.35
192,Flamengo,Flat,46.3,1,0,2,1,1,3,1,1,1,0,0,650.34,281.76,-22.925903,-43.177996,712242.52
193,Copacabana,Flat,50.5,2,0,2,1,16,6,0,1,1,1,1,1823.06,595.72,-22.982259,-43.182266,1053065.32
194,Centro,Cobertura,86.2,2,0,4,1,11,13,1,0,1,1,0,875.52,536.36,-22.903792,-43.172528,534585.02
195,Lagoa,Flat,53.4,1,0,3,0,13,7,0,1,0,1,1,2752.41,360.55,-22.978288,-43.213989,1388626.2
196,Botafogo,Casa,287.0,5,4,5,3,0,1,1,1,1,0,0,1391.0,3051.31,-22.947828,-43.170299,5537370.76
197,Vila Isabel,Casa,179.7,4,0,5,3,0,2,1,1,1,1,0,446.1,1042.86,-22.910936,-43.244732,1403892.88
198,Santa Teresa,Studio/Loft,32.8,0,0,1,0,24,3,0,0,1,0,0,804.43,227.96,-22.934606,-43.189436,270299.42
199,Botafogo,Apartamento,79.9,3,1,3,0,18,2,0,0,0,1,0,1367.51,794.42,-22.951817,-43.174249,1043721.03
200,Jardim Botanico,Apartamento,146.3,4,3,6,3,29,2,1,1,0,0,0,2022.5,2128.58,-22.974269,-43.23207,3742141.6
201,Madureira,Apartamento,88.1,3,2,3,2,1,6,0,0,0,1,0,595.44,331.19,-22.869708,-43.334423,308813.15
202,Campo Grande,Casa,461.5,4,0,5,2,0,3,1,0,0,1,0,557.84,950.17,-22.911139,-43.549652,1206236.02
203,Jacarepagua,Apartamento,71.6,3,1,3,0,2,7,0,0,0,0,0,558.96,384.26,-22.955237,-43.388895,517488.57
204,Copacabana,Apartamento,98.2,3,2,3,3,22,14,0,0,1,1,0,1522.69,1411.81,-22.973084,-43.184576,1808144.69
205,Leblon,Apartamento,75.7,3,2,5,3,25,17,0,1,1,0,0,1720.15,1538.95,-22.984331,-43.23718,2245185.13
206,Flamengo,Cobertura,454.7,5,3,7,1,17,7,1,0,0,1,0,1305.47,3918.33,-22.932361,-43.1804,7543017.19
207,Copacabana,Apartamento,96.7,2,0,4,2,12,2,1,0,0,0,1,1541.34,1187.51,-22.993443,-43.187967,2289223.49
208,Meier,Apartamento,210.8,4,3,4,2,28,5,1,0,1,0,0,521.86,1361.46,-22.912445,-43.279457,1923849.67
